dataset,split,decode,blank_bias,nonblank_bias,samples,cer_micro,ar_micro,cr_micro,empty_pred_rate,pred_gt_len_ratio,len1_cer,len2_cer,len3_5_cer,len6_10_cer,len11p_cer,checkpoint,result_file
MTH1000,test,clean,0,0,4044,0.05290119446249188,0.9470988055375081,0.949447748513169,0.018793273986152326,0.9782847718526663,0.14203730272596843,0.19536423841059603,0.15813350615683733,0.10404896421845575,0.039599401404397376,logs/mth1000mth1200pre_mth1000ft_full_0513-2257/checkpoint_best_regular.pth,logs/mth1000mth1200pre_mth1000ft_full_0513-2257/ctc_error_summary_test_clean_0526.json
MTH1000,test,bias,-1.2,1.0,4044,0.04882802738767555,0.9511719726123244,0.9550452296466589,0.008902077151335312,0.993053126093258,0.12195121951219512,0.17218543046357615,0.1406351263771873,0.10781544256120527,0.03646253021756648,logs/mth1000mth1200pre_mth1000ft_full_0513-2257/checkpoint_best_regular.pth,logs/mth1000mth1200pre_mth1000ft_full_0513-2257/ctc_error_summary_test_bias_b-12_nb10_0526.json
MTH1200,valid,clean,0,0,4157,0.04741022417124107,0.9525897758287589,0.9535711000030667,,,,,,,,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/checkpoint_best_regular.pth,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/micro_metrics_val_best.json
MTH1200,valid,bias,-1.2,1.0,4157,0.03983562820080346,0.9601643717991966,0.961605691680211,0.020206879961510705,0.9887147719954614,0.20350877192982456,0.1283464566929134,0.1286509040333797,0.09544787077826726,0.015529043614316448,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/checkpoint_best_regular.pth,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/decode_bias_sweep_valid_small.json
MTH1200,test,clean,0,0,4029,0.05948130882483109,0.940518691175169,0.941639866639129,0.06751054852320675,0.9622340896350279,0.4952681388012618,0.2698961937716263,0.1827342962714142,0.13638443935926772,0.020340744590030067,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/checkpoint_best_regular.pth,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/ctc_error_summary_test_clean_0527.json
MTH1200,test,bias,-1.2,1.0,4029,0.051751099047000856,0.9482489009529992,0.9500191780013572,0.0379746835443038,0.9841855250346679,0.46214511041009465,0.23269896193771628,0.15552569701041316,0.1208237986270023,0.017259938383875878,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/checkpoint_best_regular.pth,logs/mth1000mth1200pre_mth1200ft_full_0526-2231/ctc_error_summary_test_bias_b-12_nb10_0527.json
TKH,valid,clean,0,0,2302,0.0038207384673201594,0.9961792615326799,0.9963358491747832,0.00043440486533449177,0.9988405104453861,1.0,0.0,0.0,0.0,0.0038024008547545723,logs/mth1000mth1200pre_tkhft_full_0527-1056/checkpoint_best_regular.pth,logs/mth1000mth1200pre_tkhft_full_0527-1056/decode_bias_sweep_valid_small_0527.json
TKH,valid,bias,-1.6,1.0,2302,0.0032257054273276754,0.9967742945726724,0.9969935172716168,0.0,0.9994362844884281,0.0,0.0,0.0,0.0,0.003236754446609264,logs/mth1000mth1200pre_tkhft_full_0527-1056/checkpoint_best_regular.pth,logs/mth1000mth1200pre_tkhft_full_0527-1056/decode_bias_sweep_valid_small_0527.json
TKH,test,clean,0,0,2382,0.014652458222329861,0.9853475417776701,0.9858016478878663,0.0,0.9895858561395011,,0.0,0.045454545454545456,0.0707070707070707,0.014464128353945729,logs/mth1000mth1200pre_tkhft_full_0527-1056/checkpoint_best_regular.pth,logs/mth1000mth1200pre_tkhft_full_0527-1056/ctc_error_summary_test_clean_0527.json
TKH,test,bias,-1.6,1.0,2382,0.010353596512472753,0.9896464034875272,0.9902216032937757,0.0,0.9967304432065875,,0.0,0.045454545454545456,0.050505050505050504,0.010209972955726397,logs/mth1000mth1200pre_tkhft_full_0527-1056/checkpoint_best_regular.pth,logs/mth1000mth1200pre_tkhft_full_0527-1056/ctc_error_summary_test_bias_b-16_nb10_0527.json
